Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:13 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:14 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:15 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:18 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:18 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:18 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:18 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:18 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:18 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:18 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:18 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:18 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:19 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:20 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:20 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:20 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:21 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:21 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:21 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:21 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:21 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:21 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:21 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:21 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:21 AM', MESSAGE='Incorrect syntax near 'Luong'.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 1:47:21 AM', MESSAGE='Incorrect syntax near 'Luong'.']
